team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Arsenal,2015/2016,England,38,19,19,0,20,12,8,11,4,7,7,3,4,1.87,2.11,1.63,2,3,3,2,65,36,29,101,42,59,31,34,11,25,20,9,53,55,50,95,155,68,18,10,8,16,7,9,8,4,4,24,13,11,227,134,93,48,22,26,54,57,52,396,226,170,205,108,97,191,118,73,342,166,176,35,17,18,20,7,13,15,10,5,14,9,5,17,6,11,7,4,3,1.55,1.74,1.37,2.66,2.21,3.11,1.71,1.63,1.79,0.95,0.58,1.32,1.45,1.26,1.63,0.92,0.89,0.95,0.53,0.37,0.68,34,30,19,10,4,3,17,14,8,3,0,0,17,16,11,7,4,3,4,8,19,28,34,35,2,5,11,16,19,19,2,3,8,12,15,16,89,79,50,26,11,8,89,74,42,16,0,0,89,84,58,37,21,16,11,21,50,74,89,92,11,26,58,84,100,100,11,16,42,63,79,84,28,18,7,15,7,2,13,11,5,74,47,18,79,37,11,68,58,26,53,63,42,17,47,53,42,42,37,47,21,21,21,63,68,58,22,12,10,58,63,53,15,8,7,39,42,37,11,3,8,29,16,42,37,47,26,45,32,58,18,21,16,5.97,7.05,4.89,1.26,1.16,1.37,95,92,84,68,55,42,18,13,0,0,0,0,0,0,68,8,6,6,12,5,5,9,7,7,2,3,3,5,7,6,3,1,6,29,21,37,18,16,21,8
Arsenal FC,Arsenal,2016/2017,England,38,19,19,0,23,14,9,6,3,3,9,2,7,1.97,2.37,1.58,5,3,6,5,77,44,33,121,55,66,39,38,16,28,23,10,44,44,45,78,107,61,13,9,4,23,10,13,4,1,3,25,14,11,227,132,95,74,41,33,54,56,51,537,316,221,237,139,98,300,177,123,371,188,183,27,15,12,17,9,8,10,6,4,14,6,8,18,11,7,6,2,4,1.58,1.53,1.63,3.18,2.89,3.47,2.03,2.05,2,1.16,0.84,1.47,1.16,1.26,1.05,0.71,0.79,0.63,0.45,0.47,0.42,36,33,25,16,7,3,18,16,11,6,2,1,18,17,14,10,5,2,2,5,13,22,31,35,1,3,8,13,17,18,1,2,5,9,14,17,95,87,66,42,18,8,95,84,58,32,11,5,95,89,74,53,26,11,5,13,34,58,82,92,5,16,42,68,89,95,5,11,26,47,74,89,26,14,4,12,9,3,14,5,1,68,37,11,63,47,16,74,26,5,61,74,47,15,34,47,21,61,53,68,11,5,16,66,74,58,25,12,13,66,63,68,17,8,9,45,42,47,8,6,2,21,32,11,37,32,42,47,58,37,16,11,21,5.97,6.95,5,1.95,2.16,1.74,84,82,76,63,55,37,32,21,1.94,2.26,1.58,1.46,1.33,1.61,100,3,8,4,7,6,14,4,13,18,3,7,2,2,6,9,7,3,5,16,16,16,24,11,37,8
Arsenal FC,Arsenal,2017/2018,England,38,19,19,0,19,15,4,6,2,4,13,2,11,1.66,2.47,0.84,6,2,11,6,74,51,23,125,74,51,54,20,20,31,34,-11,46,32,86,67,86,55,13,9,4,21,9,12,6,1,5,22,14,8,225,132,93,61,27,34,61,62,60,468,271,197,269,166,103,199,105,94,383,186,197,30,23,7,21,10,11,9,13,-4,14,11,3,14,4,10,10,4,6,1.47,1.95,1,3.29,3.89,2.68,1.95,2.84,1.05,1.34,1.05,1.63,1.34,1.74,0.95,0.79,1.21,0.37,0.55,0.53,0.58,36,31,26,16,10,4,19,18,15,10,8,3,17,13,11,6,2,1,2,7,12,22,28,34,0,1,4,9,11,16,2,6,8,13,17,18,95,82,68,42,26,11,100,95,79,53,42,16,89,68,58,32,11,5,5,18,32,58,74,89,0,5,21,47,58,84,11,32,42,68,89,95,28,14,6,16,9,5,12,5,1,74,37,16,84,47,26,63,26,5,50,79,21,34,34,47,21,55,47,63,16,5,26,58,74,42,23,13,10,61,68,53,19,7,12,50,37,63,6,2,4,16,11,21,37,58,16,37,21,53,26,21,32,5.92,6.95,4.89,1.61,1.42,1.79,97,79,76,61,53,34,26,16,1.78,2.05,1.5,1.28,1.19,1.37,95,7,7,5,7,6,13,8,6,15,4,8,6,3,4,3,7,8,8,16,11,21,34,11,58,11
Arsenal FC,Arsenal,2018/2019,England,38,19,19,0,21,14,7,7,3,4,10,2,8,1.84,2.37,1.32,5,3,8,5,73,51,22,124,58,66,42,31,16,35,26,-4,47,41,55,67,107,49,8,7,1,26,11,15,4,1,3,24,13,11,209,125,84,76,40,36,58,61,56,377,210,167,208,116,92,169,94,75,412,218,194,28,14,14,28,8,20,0,6,-6,11,8,3,17,7,10,10,4,6,1.32,1.63,1,3.26,3.05,3.47,1.92,2.21,1.63,1.34,0.84,1.84,1.47,1.16,1.79,0.74,0.74,0.74,0.74,0.42,1.05,38,34,22,17,9,4,19,18,8,7,4,2,19,16,14,10,5,2,0,4,16,21,29,34,0,1,11,12,15,17,0,3,5,9,14,17,100,89,58,45,24,11,100,95,42,37,21,11,100,84,74,53,26,11,0,11,42,55,76,89,0,5,58,63,79,89,0,16,26,47,74,89,29,17,7,14,6,2,15,11,5,76,45,18,74,32,11,79,58,26,55,74,37,26,21,37,5,68,58,79,11,5,16,63,68,58,19,12,7,50,63,37,15,8,7,39,42,37,13,4,9,34,21,47,29,42,16,45,37,53,26,21,32,5.5,6.58,4.42,2,2.11,1.89,87,82,71,63,47,34,28,13,1.38,1.55,1.2,1.39,1.24,1.55,87,6,9,8,2,8,10,10,7,13,3,7,5,5,9,1,12,1,8,18,16,21,26,11,42,5
Arsenal FC,Arsenal,2019/2020,England,38,19,19,0,14,10,4,14,6,8,10,3,7,1.47,1.89,1.05,8,7,10,8,56,48,8,104,60,44,36,20,24,24,12,-4,61,48,86,71,71,71,10,5,5,23,13,10,7,1,6,19,12,7,231,128,103,96,46,50,54,53,55,430,235,195,189,108,81,241,127,114,420,221,199,28,21,7,25,14,11,3,7,-4,14,10,4,11,5,6,13,4,9,1.39,1.84,0.95,2.74,3.16,2.32,1.47,1.89,1.05,1.26,1.26,1.26,1.39,1.84,0.95,0.74,1.11,0.37,0.66,0.74,0.58,36,31,21,13,3,0,19,17,13,8,3,0,17,14,8,5,0,0,2,7,17,25,35,38,0,2,6,11,16,19,2,5,11,14,19,19,95,82,55,34,8,0,100,89,68,42,16,0,89,74,42,26,0,0,5,18,45,66,92,100,0,11,32,58,84,100,11,26,58,74,100,100,31,13,7,17,10,6,14,3,1,82,34,18,89,53,32,74,16,5,37,53,21,0,26,26,26,61,68,53,18,5,32,50,63,37,18,9,9,47,47,47,18,5,13,47,26,68,9,7,2,24,37,11,37,53,21,29,26,32,34,21,47,6.08,6.74,5.42,2.53,2.42,2.63,89,84,74,63,57,47,42,37,1.38,1.51,1.25,1.7,1.74,1.67,63,5,6,6,6,7,7,7,2,10,4,4,4,6,8,6,2,5,9,37,32,42,26,16,37,34
Arsenal FC,Arsenal,2020/2021,England,38,19,19,0,18,8,10,7,4,3,13,7,6,1.61,1.47,1.74,8,9,7,8,55,39,16,94,45,49,24,31,21,18,3,13,62,71,55,87,81,95,12,4,8,17,9,8,12,8,4,18,7,11,207,116,91,57,23,34,54,54,53,496,262,234,189,97,92,307,165,142,341,187,154,26,10,16,22,7,15,4,3,1,11,3,8,17,12,5,10,4,6,1.32,1.11,1.53,2.47,2.37,2.58,1.45,1.26,1.63,1.03,1.11,0.95,1.26,0.89,1.63,0.68,0.53,0.84,0.58,0.37,0.79,35,26,20,9,2,2,17,13,10,3,1,1,18,13,10,6,1,1,3,12,18,29,36,36,2,6,9,16,18,18,1,6,9,13,18,18,92,68,53,24,5,5,89,68,53,16,5,5,95,68,53,32,5,5,8,32,47,76,95,95,11,32,47,84,95,95,5,32,47,68,95,95,25,15,7,9,6,2,16,9,5,66,39,18,47,32,11,84,47,26,47,42,53,-11,32,21,42,45,47,42,32,42,21,47,37,58,22,13,9,58,68,47,19,13,6,50,68,32,10,3,7,26,16,37,29,16,42,45,63,26,26,21,32,5.45,6.11,4.79,1.5,1.21,1.79,84,82,74,53,37,32,13,11,1.5,1.56,1.44,1.34,1.24,1.44,68,4,2,6,9,9,7,8,3,7,4,4,5,4,6,2,5,5,4,18,21,16,34,37,32,8
Arsenal FC,Arsenal,2021/2022,England,18,9,9,1,10,7,3,2,1,1,6,1,5,1.78,2.44,1.11,4,2,9,4,27,23,4,50,23,27,17,10,6,17,11,-7,60,48,81,70,134,48,8,5,3,6,3,3,5,1,4,13,8,5,87,56,31,27,18,9,51,54,47,255,166,89,102,66,36,153,100,53,158,85,73,16,8,8,8,2,6,8,6,2,8,4,4,6,4,2,4,1,3,1.67,1.78,1.56,2.78,2.56,3,1.5,1.89,1.11,1.28,0.67,1.89,1.33,1.11,1.56,0.89,0.89,0.89,0.44,0.22,0.67,17,14,9,7,3,0,9,7,4,3,0,0,8,7,5,4,3,0,1,4,9,11,15,18,0,2,5,6,9,9,1,2,4,5,6,9,94,78,50,39,17,0,100,78,44,33,0,0,89,78,56,44,33,0,6,22,50,61,83,100,0,22,56,67,100,100,11,22,44,56,67,100,13,8,3,5,4,1,8,4,2,72,44,17,56,44,11,89,44,22,56,78,33,37,44,56,33,33,33,33,28,11,44,72,89,56,13,8,5,72,89,56,9,5,4,50,56,44,1,0,1,6,0,11,44,44,44,33,44,22,22,11,33,5.12,6.22,3.88,1.5,2,1,88,71,59,53,53,35,28,18,1.65,2.03,1.23,1.52,1.25,1.81,56,2,4,6,1,4,4,3,0,3,1,2,1,2,3,3,1,7,3,11,11,11,33,11,56,12
Tottenham Hotspur FC,Tottenham Hotspur,2015/2016,England,38,19,19,0,19,10,9,13,6,7,6,3,3,1.84,1.89,1.79,3,5,2,3,69,35,34,104,50,54,35,34,15,20,20,14,49,49,50,98,114,86,13,8,5,22,10,12,6,4,2,22,11,11,254,142,112,72,30,42,55,57,53,450,259,191,196,110,86,254,149,105,441,215,226,31,15,16,16,5,11,15,10,5,14,7,7,17,10,7,7,2,5,1.55,1.63,1.47,2.74,2.63,2.84,1.82,1.84,1.79,0.92,0.79,1.05,1.24,1.05,1.42,0.82,0.79,0.84,0.42,0.26,0.58,35,29,21,12,5,2,16,13,12,6,3,0,19,16,9,6,2,2,3,9,17,26,33,36,3,6,7,13,16,19,0,3,10,13,17,17,92,76,55,32,13,5,84,68,63,32,16,0,100,84,47,32,11,11,8,24,45,68,87,95,16,32,37,68,84,100,0,16,53,68,89,89,27,17,2,12,8,0,15,9,2,71,45,5,63,42,0,79,47,11,50,53,47,8,34,42,26,58,53,63,16,21,11,58,58,58,24,14,10,63,74,53,17,9,8,45,47,42,8,3,5,21,16,26,37,37,37,45,53,37,18,11,26,6.68,7.47,5.89,1.89,1.58,2.21,97,92,74,57,57,45,42,28,0,0,0,0,0,0,79,5,6,5,6,12,6,12,7,10,2,3,4,6,1,2,0,9,8,34,32,37,16,16,16,13
Tottenham Hotspur FC,Tottenham Hotspur,2016/2017,England,38,19,19,0,26,17,9,8,2,6,4,0,4,2.26,2.79,1.74,2,1,5,2,86,26,60,112,56,56,47,39,9,17,38,22,40,36,44,132,191,101,17,12,5,18,7,11,5,0,5,24,16,8,273,148,125,62,27,35,57,54,59,651,377,274,301,173,128,350,204,146,420,201,219,36,23,13,11,3,8,25,20,5,17,12,5,14,5,9,7,2,5,1.71,2.16,1.26,2.95,2.95,2.95,2.26,2.47,2.05,0.68,0.47,0.89,1.24,1.37,1.11,0.95,1.21,0.68,0.29,0.16,0.42,36,30,20,14,7,2,19,16,11,7,3,0,17,14,9,7,4,2,2,8,18,24,31,36,0,3,8,12,16,19,2,5,10,12,15,17,95,79,53,37,18,5,100,84,58,37,16,0,89,74,47,37,21,11,5,21,47,63,82,95,0,16,42,63,84,100,11,26,53,63,79,89,27,15,4,15,8,2,12,7,2,71,39,11,79,42,11,63,37,11,68,89,47,20,45,63,26,47,37,58,13,0,26,63,84,42,28,16,12,74,84,63,18,6,12,47,32,63,3,1,2,8,5,11,45,63,26,37,26,47,18,11,26,7.18,7.79,6.58,1.63,1.42,1.84,89,84,79,66,55,42,32,16,2.4,2.73,2.09,1.11,0.97,1.25,95,3,11,5,9,12,14,6,9,17,2,3,3,0,5,4,4,1,4,21,11,32,11,0,21,8
Tottenham Hotspur FC,Tottenham Hotspur,2017/2018,England,38,19,19,0,23,13,10,8,4,4,7,2,5,2.03,2.26,1.79,3,5,2,3,74,36,38,110,56,54,40,34,16,20,24,14,46,43,50,95,107,86,16,10,6,19,9,10,4,1,3,22,13,9,246,143,103,54,21,33,62,63,61,473,262,211,253,139,114,220,123,97,384,177,207,27,14,13,17,7,10,10,7,3,13,8,5,17,7,10,8,4,4,1.47,1.63,1.32,2.89,2.95,2.84,1.95,2.11,1.79,0.95,0.84,1.05,1.16,1.11,1.21,0.71,0.74,0.68,0.45,0.37,0.53,37,30,17,12,7,3,18,14,7,6,4,3,19,16,10,6,3,0,1,8,21,26,31,35,1,5,12,13,15,16,0,3,9,13,16,19,97,79,45,32,18,8,95,74,37,32,21,16,100,84,53,32,16,0,3,21,55,68,82,92,5,26,63,68,79,84,0,16,47,68,84,100,25,14,4,12,5,3,13,9,1,66,37,11,63,26,16,68,47,5,61,68,53,10,42,53,32,50,47,53,11,5,16,58,68,47,25,14,11,66,74,58,19,9,10,50,47,53,7,3,4,18,16,21,34,42,26,45,37,53,21,21,21,6.47,7.53,5.42,1.42,1.11,1.74,92,87,74,57,47,34,21,18,1.83,2.01,1.65,1.11,1.08,1.15,87,5,5,8,5,14,10,10,6,11,4,5,5,1,4,1,4,4,8,21,21,21,18,11,26,13
