team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Arsenal,2021/2022,England,18,9,9,1,10,7,3,2,1,1,6,1,5,1.78,2.44,1.11,4,2,9,4,27,23,4,50,23,27,17,10,6,17,11,-7,60,48,81,70,134,48,8,5,3,6,3,3,5,1,4,13,8,5,87,56,31,27,18,9,51,54,47,255,166,89,102,66,36,153,100,53,158,85,73,16,8,8,8,2,6,8,6,2,8,4,4,6,4,2,4,1,3,1.67,1.78,1.56,2.78,2.56,3,1.5,1.89,1.11,1.28,0.67,1.89,1.33,1.11,1.56,0.89,0.89,0.89,0.44,0.22,0.67,17,14,9,7,3,0,9,7,4,3,0,0,8,7,5,4,3,0,1,4,9,11,15,18,0,2,5,6,9,9,1,2,4,5,6,9,94,78,50,39,17,0,100,78,44,33,0,0,89,78,56,44,33,0,6,22,50,61,83,100,0,22,56,67,100,100,11,22,44,56,67,100,13,8,3,5,4,1,8,4,2,72,44,17,56,44,11,89,44,22,56,78,33,37,44,56,33,33,33,33,28,11,44,72,89,56,13,8,5,72,89,56,9,5,4,50,56,44,1,0,1,6,0,11,44,44,44,33,44,22,22,11,33,5.12,6.22,3.88,1.5,2,1,88,71,59,53,53,35,28,18,1.65,2.03,1.23,1.52,1.25,1.81,56,2,4,6,1,4,4,3,0,3,1,2,1,2,3,3,1,7,3,11,11,11,33,11,56,12
Tottenham Hotspur FC,Tottenham Hotspur,2021/2022,England,14,8,6,3,8,6,2,1,0,1,5,2,3,1.79,2.25,1.17,7,5,12,7,16,17,-1,33,19,14,11,5,8,9,3,-4,79,65,108,74,90,60,6,4,2,4,2,2,5,2,3,6,5,1,78,53,25,25,11,14,50,48,52,169,114,55,69,45,24,100,69,31,146,86,60,8,4,4,6,2,4,2,2,0,6,4,2,5,2,3,3,2,1,1.64,1.75,1.5,2.36,2.38,2.33,1.14,1.38,0.83,1.21,1,1.5,1,0.75,1.33,0.57,0.5,0.67,0.43,0.25,0.67,13,9,8,2,1,0,8,6,5,0,0,0,5,3,3,2,1,0,1,5,6,12,13,14,0,2,3,8,8,8,1,3,3,4,5,6,93,64,57,14,7,0,100,75,63,0,0,0,83,50,50,33,17,0,7,36,43,86,93,100,0,25,37,100,100,100,17,50,50,67,83,100,9,2,2,6,0,0,3,2,2,64,14,14,75,0,0,50,33,33,57,75,33,19,43,50,33,29,25,33,36,25,50,43,63,17,10,6,4,71,75,67,8,4,4,57,50,67,1,0,1,7,0,17,43,50,33,36,25,50,21,25,17,5.57,6.63,4.17,1.79,1.38,2.33,86,86,79,71,56,43,36,21,1.13,1.33,0.87,1.51,1.48,1.55,64,2,2,2,0,2,2,3,3,0,1,1,1,2,2,1,2,2,5,7,0,17,36,25,50,14
Manchester City FC,Manchester City,2021/2022,England,17,9,8,0,13,7,6,2,1,1,2,1,1,2.41,2.44,2.38,1,1,3,1,40,9,31,49,28,21,25,15,3,6,22,9,38,32,48,170,273,120,10,7,3,5,1,4,3,2,1,13,7,6,148,76,72,27,14,13,66,70,62,348,189,159,145,80,65,203,109,94,154,74,80,20,11,9,1,1,0,19,10,9,10,6,4,6,2,4,1,1,0,2.12,2.22,2,2.88,3.11,2.63,2.35,2.78,1.88,0.53,0.33,0.75,1.24,1.33,1.13,1.18,1.22,1.13,0.06,0.11,0,16,12,9,6,4,1,8,7,5,3,3,1,8,5,4,3,1,0,1,5,8,11,13,16,1,2,4,6,6,8,0,3,4,5,7,8,94,71,53,35,24,6,89,78,56,33,33,11,100,63,50,38,13,0,6,29,47,65,76,94,11,22,44,67,67,89,0,37,50,62,87,100,11,7,3,7,3,2,4,4,1,65,41,18,78,33,22,50,50,13,76,78,75,28,59,78,38,29,11,50,18,22,13,76,78,75,16,8,8,94,89,100,7,3,4,41,33,50,0,0,0,0,0,0,59,67,50,35,22,50,6,11,0,8.71,8.44,9,1.59,1.56,1.63,100,88,65,65,59,59,53,35,2.56,2.68,2.43,0.78,0.63,0.95,65,5,4,3,4,5,3,7,3,6,1,0,0,0,1,2,0,2,3,12,11,13,12,11,13,18
Leicester City FC,Leicester City,2021/2022,England,16,8,8,2,6,4,2,4,1,3,6,3,3,1.38,1.63,1.13,9,9,10,9,27,27,0,54,27,27,15,12,12,15,3,-3,53,48,60,53,60,48,2,2,0,11,3,8,3,3,0,7,3,4,82,44,38,25,11,14,52,52,52,205,112,93,91,53,38,114,59,55,145,64,81,14,7,7,15,8,7,-1,-1,0,5,3,2,5,2,3,6,3,3,1.25,1.38,1.13,3.38,3.38,3.38,1.69,1.88,1.5,1.69,1.5,1.88,1.81,1.88,1.75,0.88,0.88,0.88,0.94,1,0.88,16,14,12,7,3,2,8,6,5,4,2,2,8,8,7,3,1,0,0,2,4,9,13,14,0,2,3,4,6,6,0,0,1,5,7,8,100,88,75,44,19,13,100,75,63,50,25,25,100,100,88,38,13,0,0,12,25,56,81,87,0,25,37,50,75,75,0,0,12,62,87,100,15,10,3,7,5,2,8,5,1,94,63,19,88,63,25,100,63,13,38,50,25,11,13,25,0,69,38,100,19,38,0,44,38,50,5,3,2,31,38,25,5,3,2,31,38,25,7,3,4,44,38,50,31,38,25,31,25,38,38,38,38,5.13,5.5,4.75,1.56,1.38,1.75,88,81,75,63,50,38,38,19,1.36,1.51,1.22,1.69,1.65,1.72,94,1,3,2,6,3,1,3,3,5,2,5,4,3,2,3,3,3,2,25,13,38,38,38,38,13
Crystal Palace FC,Crystal Palace,2021/2022,England,17,9,8,1,4,3,1,8,5,3,5,1,4,1.18,1.56,0.75,11,6,14,11,24,24,0,48,24,24,15,9,9,15,6,-6,64,54,80,64,90,48,4,3,1,9,6,3,5,1,4,8,6,2,74,44,30,32,19,13,52,60,43,200,118,82,79,45,34,121,73,48,201,124,77,7,3,4,12,5,7,-5,-2,-3,4,2,2,6,4,2,7,3,4,1.06,1.11,1,2.82,2.67,3,1.41,1.67,1.13,1.41,1,1.88,1.12,0.89,1.38,0.41,0.33,0.5,0.71,0.56,0.88,16,14,10,6,1,1,8,8,5,3,0,0,8,6,5,3,1,1,1,3,7,11,16,16,1,1,4,6,9,9,0,2,3,5,7,7,94,82,59,35,6,6,89,89,56,33,0,0,100,75,63,38,13,13,6,18,41,65,94,94,11,11,44,67,100,100,0,25,37,62,87,87,11,4,2,5,2,1,6,2,1,65,24,12,56,22,11,75,25,13,24,33,13,24,24,33,13,53,67,38,29,11,50,47,67,25,9,6,3,53,67,38,12,6,6,71,67,75,2,1,1,12,11,13,24,22,25,35,44,25,41,33,50,4.35,4.89,3.75,1.88,2.11,1.63,94,88,71,59,24,12,12,12,1.29,1.49,1.08,1.45,1.08,1.87,65,3,0,0,1,4,2,5,4,5,1,2,2,6,2,1,3,2,5,47,56,38,29,11,50,12
Everton FC,Everton,2021/2022,England,17,8,9,1,5,4,1,4,1,3,8,3,5,1.12,1.63,0.67,14,11,15,14,21,29,-8,50,26,24,13,8,13,16,0,-8,73,55,101,53,55,51,3,2,1,10,5,5,5,2,3,4,2,2,61,36,25,37,19,18,39,44,35,219,105,114,84,37,47,135,68,67,156,64,92,5,3,2,12,5,7,-7,-2,-5,2,1,1,7,4,3,8,3,5,0.76,0.88,0.67,2.94,3.25,2.67,1.24,1.63,0.89,1.71,1.63,1.78,1,1,1,0.29,0.38,0.22,0.71,0.63,0.78,16,14,10,6,2,1,7,6,5,4,2,1,9,8,5,2,0,0,1,3,7,11,15,16,1,2,3,4,6,7,0,1,4,7,9,9,94,82,59,35,12,6,88,75,63,50,25,13,100,89,56,22,0,0,6,18,41,65,88,94,12,25,37,50,75,87,0,11,44,78,100,100,12,4,1,5,2,1,7,2,0,71,24,6,63,25,13,78,22,0,29,50,11,18,18,25,11,59,63,56,29,25,33,24,25,22,7,4,3,41,50,33,12,5,7,71,63,78,3,2,1,18,25,11,12,13,11,41,50,33,47,38,56,3.59,4.5,2.78,2.18,2.38,2,82,76,59,47,28,24,24,18,1.36,1.38,1.34,1.59,1.39,1.76,100,1,0,2,1,3,2,6,4,2,1,2,3,1,5,2,5,6,4,24,13,33,47,38,56,6
Burnley FC,Burnley,2021/2022,England,15,7,8,3,1,1,0,8,4,4,6,2,4,0.73,1,0.5,18,17,19,18,14,21,-7,35,16,19,8,6,8,13,0,-7,97,79,120,64,79,55,3,2,1,8,4,4,7,3,4,6,3,3,69,42,27,34,18,16,40,42,37,178,100,78,69,35,34,109,65,44,143,76,67,9,6,3,10,4,6,-1,2,-3,3,2,1,6,3,3,6,2,4,1,1.29,0.75,2.33,2.29,2.38,0.93,1.14,0.75,1.4,1.14,1.63,1.27,1.43,1.13,0.6,0.86,0.38,0.67,0.57,0.75,12,10,6,5,1,1,5,4,3,2,1,1,7,6,3,3,0,0,3,5,9,10,14,14,2,3,4,5,6,6,1,2,5,5,8,8,80,67,40,33,7,7,71,57,43,29,14,14,88,75,38,38,0,0,20,33,60,67,93,93,29,43,57,71,86,86,12,25,62,62,100,100,10,4,3,4,2,2,6,2,1,67,27,20,57,29,29,75,25,13,7,14,0,21,20,29,13,53,57,50,47,43,50,40,43,38,7,5,2,47,71,25,10,4,6,67,57,75,3,1,2,20,14,25,20,29,13,40,43,38,40,29,50,4.6,6,3.38,2.27,2.57,2,93,93,80,73,53,40,33,20,1.13,1.33,0.96,1.75,1.44,2.03,73,2,3,1,3,1,2,1,1,0,1,2,1,4,3,1,4,3,2,53,57,50,40,29,50,13
Southampton FC,Southampton,2021/2022,England,17,8,9,1,3,2,1,8,5,3,6,1,5,1,1.38,0.67,15,12,16,15,16,26,-10,42,15,27,8,8,7,19,1,-11,96,90,101,59,102,43,5,3,2,9,4,5,5,2,3,8,5,3,104,49,55,34,15,19,48,48,48,220,115,105,81,42,39,139,73,66,188,95,93,11,6,5,10,2,8,1,4,-3,7,4,3,7,4,3,3,0,3,1.65,2,1.33,2.47,1.88,3,0.94,1,0.89,1.53,0.88,2.11,1.24,1,1.44,0.65,0.75,0.56,0.59,0.25,0.89,15,11,9,7,0,0,7,4,2,2,0,0,8,7,7,5,0,0,2,6,8,10,17,17,1,4,6,6,8,8,1,2,2,4,9,9,88,65,53,41,0,0,88,50,25,25,0,0,89,78,78,56,0,0,12,35,47,59,100,100,12,50,75,75,100,100,11,22,22,44,100,100,12,6,3,5,2,1,7,4,2,71,35,18,63,25,13,78,44,22,18,25,11,24,29,38,22,53,50,56,29,25,33,47,63,33,10,6,4,59,75,44,8,3,5,47,38,56,4,2,2,24,25,22,41,50,33,41,50,33,18,0,33,6.12,6.13,6.11,2,1.88,2.11,94,94,76,59,47,47,35,24,1.38,1.52,1.25,1.4,1.19,1.58,71,3,1,3,3,2,1,1,1,1,4,1,3,2,2,4,3,2,5,47,63,33,35,13,56,12
Manchester United FC,Manchester United,2021/2022,England,16,8,8,2,8,4,4,3,1,2,5,3,2,1.69,1.63,1.75,6,10,6,6,26,24,2,50,27,23,14,12,13,11,1,1,55,51,60,60,55,65,4,1,3,9,4,5,3,3,0,9,4,5,86,46,40,39,17,22,53,53,53,235,133,102,95,50,45,140,83,57,180,84,96,7,4,3,12,7,5,-5,-3,-2,4,3,1,8,3,5,4,2,2,1.25,1.5,1,3.13,3.38,2.88,1.63,1.75,1.5,1.5,1.63,1.38,1.19,1.38,1,0.44,0.5,0.38,0.75,0.88,0.63,16,12,8,6,6,2,8,6,4,4,4,1,8,6,4,2,2,1,0,4,8,10,10,14,0,2,4,4,4,7,0,2,4,6,6,7,100,75,50,38,38,13,100,75,50,50,50,13,100,75,50,25,25,13,0,25,50,62,62,87,0,25,50,50,50,87,0,25,50,75,75,87,11,6,1,6,3,1,5,3,0,69,38,6,75,38,13,63,38,0,50,50,50,-1,25,13,38,56,50,63,19,38,0,56,50,63,9,5,4,56,63,50,9,4,5,56,50,63,3,1,2,19,13,25,25,38,13,50,38,63,25,25,25,5.38,5.75,5,2.44,2.13,2.75,100,94,94,81,63,38,31,25,1.64,1.81,1.45,1.52,1.43,1.62,81,0,1,1,2,5,5,4,4,4,2,2,3,2,5,2,2,1,5,19,13,25,31,38,25,13
Liverpool FC,Liverpool,2021/2022,England,17,9,8,0,12,6,6,4,3,1,1,0,1,2.35,2.33,2.38,2,3,1,2,48,13,35,61,28,33,22,26,6,7,16,19,32,37,28,118,134,102,10,5,5,7,4,3,0,0,0,13,7,6,137,71,66,21,12,9,64,63,65,344,183,161,137,72,65,207,111,96,171,93,78,23,11,12,6,3,3,17,8,9,11,6,5,6,3,3,0,0,0,2.29,2.33,2.25,3.59,3.11,4.13,2.82,2.44,3.25,0.76,0.67,0.88,1.71,1.56,1.88,1.35,1.22,1.5,0.35,0.33,0.38,17,15,13,10,5,1,9,8,6,5,0,0,8,7,7,5,5,1,0,2,4,7,12,16,0,1,3,4,9,9,0,1,1,3,3,7,100,88,76,59,29,6,100,89,67,56,0,0,100,88,88,63,63,13,0,12,24,41,71,94,0,11,33,44,100,100,0,12,12,37,37,87,14,9,5,7,4,3,7,5,2,82,53,29,78,44,33,88,63,25,71,67,75,-1,59,56,63,41,44,38,0,0,0,76,78,75,11,6,5,65,67,63,3,2,1,18,22,13,6,3,3,35,33,38,65,67,63,35,33,38,0,0,0,8.06,7.89,8.25,1.24,1.33,1.13,94,82,76,71,59,53,41,28,2.43,2.46,2.4,0.97,0.94,1,82,5,4,4,6,6,6,5,6,6,2,0,2,1,1,0,4,1,2,24,33,13,6,0,13,12
